,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
4,2017-11,198.992,25.39,171413.906024639,-,Guaira,171413.906024639,11,2017,Guaira
5,2017-12,314.31,27.02,171413.906024639,-,Guaira,171413.906024639,12,2017,Guaira
0,2017-07,11.829,18.48,1028915.52070031,-,Itapua,1028915.52070031,7,2017,Itapua
1,2017-08,133.814,20.23,1028915.52070031,-,Itapua,1028915.52070031,8,2017,Itapua
2,2017-09,97.383,23.13,1028915.52070031,-,Itapua,1028915.52070031,9,2017,Itapua
3,2017-10,298.908,22.14,1028915.52070031,-,Itapua,1028915.52070031,10,2017,Itapua
4,2017-11,206.769,22.57,1028915.52070031,-,Itapua,1028915.52070031,11,2017,Itapua
5,2017-12,143.168,26.12,1028915.52070031,-,Itapua,1028915.52070031,12,2017,Itapua
0,2017-07,12.509,17.82,94077.8606203519,-,Neembucu,94077.8606203519,7,2017,Neembucu
1,2017-08,129.39,19.24,94077.8606203519,-,Neembucu,94077.8606203519,8,2017,Neembucu
2,2017-09,93.112,22.51,94077.8606203519,-,Neembucu,94077.8606203519,9,2017,Neembucu
3,2017-10,248.227,21.54,94077.8606203519,-,Neembucu,94077.8606203519,10,2017,Neembucu
4,2017-11,179.763,22.21,94077.8606203519,-,Neembucu,94077.8606203519,11,2017,Neembucu
5,2017-12,122.286,26.16,94077.8606203519,-,Neembucu,94077.8606203519,12,2017,Neembucu
0,2017-07,11.079,19.37,427660.311190092,-,Paraguari,427660.311190092,7,2017,Paraguari
1,2017-08,109.047,20.04,427660.311190092,-,Paraguari,427660.311190092,8,2017,Paraguari
2,2017-09,108.497,22.2,427660.311190092,-,Paraguari,427660.311190092,9,2017,Paraguari
3,2017-10,219.595,22.16,427660.311190092,-,Paraguari,427660.311190092,10,2017,Paraguari
4,2017-11,161.506,23.04,427660.311190092,-,Paraguari,427660.311190092,11,2017,Paraguari
5,2017-12,94.283,27.84,427660.311190092,-,Paraguari,427660.311190092,12,2017,Paraguari
0,2017-07,7.476,20.72,95614.2299906291,-,PresidenteHayes,95614.2299906291,7,2017,PresidenteHayes
1,2017-08,67.625,22.82,95614.2299906291,-,PresidenteHayes,95614.2299906291,8,2017,PresidenteHayes
2,2017-09,53.301,24.74,95614.2299906291,-,PresidenteHayes,95614.2299906291,9,2017,PresidenteHayes
3,2017-10,182.266,25.18,95614.2299906291,-,PresidenteHayes,95614.2299906291,10,2017,PresidenteHayes
4,2017-11,200.209,25.18,95614.2299906291,-,PresidenteHayes,95614.2299906291,11,2017,PresidenteHayes
5,2017-12,160.278,27.97,95614.2299906291,-,PresidenteHayes,95614.2299906291,12,2017,PresidenteHayes
0,2017-07,7.546,19.91,423393.033501258,-,SanPedro,423393.033501258,7,2017,SanPedro
1,2017-08,95.065,22.33,423393.033501258,-,SanPedro,423393.033501258,8,2017,SanPedro
2,2017-09,31.215,25.45,423393.033501258,-,SanPedro,423393.033501258,9,2017,SanPedro
3,2017-10,245.846,24.4,423393.033501258,-,SanPedro,423393.033501258,10,2017,SanPedro
4,2017-11,254.293,24.31,423393.033501258,-,SanPedro,423393.033501258,11,2017,SanPedro
5,2017-12,205.737,26.73,423393.033501258,-,SanPedro,423393.033501258,12,2017,SanPedro
