,time_period,rainfall,mean_temperature,disease_cases,population,parent,location,target
31,2003-02,24.437,20.22,0.0,63466.8067801339,-,Bokeo,0.0
32,2003-03,129.629,22.15,0.0,63466.8067801339,-,Bokeo,0.0
33,2003-04,54.885,26.0,0.0,63466.8067801339,-,Bokeo,0.0
34,2003-05,186.719,25.6,0.0,63466.8067801339,-,Bokeo,0.0
35,2003-06,315.084,23.93,1.0,63466.8067801339,-,Bokeo,1.0
36,2003-07,285.135,24.3,1.0,63466.8067801339,-,Bokeo,1.0
37,2003-08,318.048,24.06,5.0,63466.8067801339,-,Bokeo,5.0
38,2003-09,273.417,23.6,11.0,63466.8067801339,-,Bokeo,11.0
39,2003-10,97.502,23.05,2.0,63466.8067801339,-,Bokeo,2.0
40,2003-11,8.461,21.04,0.0,63466.8067801339,-,Bokeo,0.0
41,2003-12,6.051,18.46,0.0,63466.8067801339,-,Bokeo,0.0
42,2004-01,22.702,18.59,0.0,65121.486328125,-,Bokeo,0.0
43,2004-02,19.846,20.29,0.0,65121.486328125,-,Bokeo,0.0
44,2004-03,19.357,25.36,0.0,65121.486328125,-,Bokeo,0.0
45,2004-04,194.375,24.64,0.0,65121.486328125,-,Bokeo,0.0
46,2004-05,446.167,23.76,0.0,65121.486328125,-,Bokeo,0.0
47,2004-06,303.529,23.9,0.0,65121.486328125,-,Bokeo,0.0
48,2004-07,357.886,23.53,0.0,65121.486328125,-,Bokeo,0.0
49,2004-08,389.122,23.55,0.0,65121.486328125,-,Bokeo,0.0
50,2004-09,353.402,22.75,0.0,65121.486328125,-,Bokeo,0.0
51,2004-10,81.437,22.1,0.0,65121.486328125,-,Bokeo,0.0
52,2004-11,34.012,20.55,0.0,65121.486328125,-,Bokeo,0.0
53,2004-12,0.734,17.1,0.0,65121.486328125,-,Bokeo,0.0
54,2005-01,14.157,18.9,0.0,66776.1658761161,-,Bokeo,0.0
55,2005-02,1.636,23.35,1.0,66776.1658761161,-,Bokeo,1.0
56,2005-03,94.531,22.68,0.0,66776.1658761161,-,Bokeo,0.0
57,2005-04,78.826,25.08,0.0,66776.1658761161,-,Bokeo,0.0
58,2005-05,164.652,26.0,0.0,66776.1658761161,-,Bokeo,0.0
59,2005-06,332.612,24.22,0.0,66776.1658761161,-,Bokeo,0.0
60,2005-07,380.549,24.2,2.0,66776.1658761161,-,Bokeo,2.0
61,2005-08,502.872,23.22,0.0,66776.1658761161,-,Bokeo,0.0
