,time_period,rainfall,mean_temperature,disease_cases,population,parent,location,target
0,2000-07,430.119,23.44,0.0,58502.7681361607,-,Bokeo,0.0
1,2000-08,321.913,23.82,0.0,58502.7681361607,-,Bokeo,0.0
2,2000-09,265.021,22.66,0.0,58502.7681361607,-,Bokeo,0.0
3,2000-10,103.474,22.57,0.0,58502.7681361607,-,Bokeo,0.0
4,2000-11,19.728,20.28,0.0,58502.7681361607,-,Bokeo,0.0
5,2000-12,25.991,19.13,0.0,58502.7681361607,-,Bokeo,0.0
6,2001-01,17.576,19.76,0.0,60157.4476841518,-,Bokeo,0.0
7,2001-02,7.275,22.01,0.0,60157.4476841518,-,Bokeo,0.0
8,2001-03,123.211,22.57,0.0,60157.4476841518,-,Bokeo,0.0
9,2001-04,29.62,27.5,0.0,60157.4476841518,-,Bokeo,0.0
10,2001-05,439.225,22.91,0.0,60157.4476841518,-,Bokeo,0.0
11,2001-06,289.653,23.97,1.0,60157.4476841518,-,Bokeo,1.0
12,2001-07,433.172,23.18,1.0,60157.4476841518,-,Bokeo,1.0
13,2001-08,317.067,24.05,1.0,60157.4476841518,-,Bokeo,1.0
14,2001-09,261.593,23.34,1.0,60157.4476841518,-,Bokeo,1.0
15,2001-10,150.02,22.58,1.0,60157.4476841518,-,Bokeo,1.0
16,2001-11,36.503,18.57,0.0,60157.4476841518,-,Bokeo,0.0
17,2001-12,15.168,18.64,0.0,60157.4476841518,-,Bokeo,0.0
18,2002-01,32.291,18.11,0.0,61812.1272321429,-,Bokeo,0.0
19,2002-02,23.047,21.52,0.0,61812.1272321429,-,Bokeo,0.0
20,2002-03,43.623,23.42,0.0,61812.1272321429,-,Bokeo,0.0
21,2002-04,56.187,25.89,0.0,61812.1272321429,-,Bokeo,0.0
22,2002-05,408.673,24.07,1.0,61812.1272321429,-,Bokeo,1.0
23,2002-06,364.548,23.91,1.0,61812.1272321429,-,Bokeo,1.0
24,2002-07,530.115,22.98,1.0,61812.1272321429,-,Bokeo,1.0
25,2002-08,387.139,23.19,0.0,61812.1272321429,-,Bokeo,0.0
26,2002-09,192.994,23.57,0.0,61812.1272321429,-,Bokeo,0.0
27,2002-10,150.797,22.03,1.0,61812.1272321429,-,Bokeo,1.0
28,2002-11,108.736,19.68,0.0,61812.1272321429,-,Bokeo,0.0
29,2002-12,62.489,18.37,0.0,61812.1272321429,-,Bokeo,0.0
30,2003-01,69.415,17.7,0.0,63466.8067801339,-,Bokeo,0.0
