item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
DaNang,Vietnam,Dengue,Auto ARIMA,2017-01,541.9108602,142.802913,478,79.66666667,86.62903226,0.274740291,0.323046443,0.317677816,0,0.298750864,5.543637499,180.9036406,0,142.802913,0.5,160.7827423,1
DakLak,Vietnam,Dengue,Auto ARIMA,2016-07,16495.92781,735.0528244,1387,231.1666667,129.0611111,0.949230973,0.509681247,0.71230816,0,0.529958777,6.082498284,420.9848888,0,735.0528244,0,143.0528831,1
DakLak,Vietnam,Dengue,Auto ARIMA,2016-08,13496.13172,591.9819404,1370,228.3333333,128.8287293,0.765851354,0.408399933,0.52939483,0,0.432103606,6.232703077,420.3899493,0,591.9819404,0,163.5270022,1
DakLak,Vietnam,Dengue,Auto ARIMA,2016-09,4134.230141,343.9431464,1197,199.5,128.7527473,0.445224346,0.318855144,0.40793528,0,0.287337633,5.807822944,343.850789,0,343.9431464,0.166666667,235.2149587,1
DakLak,Vietnam,Dengue,Auto ARIMA,2016-10,3966.420004,308.5181923,1040,173.3333333,128.0655738,0.401510704,0.300459825,0.375311219,0,0.296652108,5.813073973,372.9942067,0,308.5181923,0,229.3902978,1
DakLak,Vietnam,Dengue,Auto ARIMA,2016-11,964.2554278,183.2085966,825,137.5,127.7663043,0.238989194,0.245312472,0.202490912,0,0.222071026,5.916067269,263.1098452,0,183.2085966,1,315.5173465,1
DakLak,Vietnam,Dengue,Auto ARIMA,2016-12,896.7472112,153.7900583,738,123,128.1837838,0.199960366,0.197014401,0.226324568,0,0.208387613,5.6780994,307.9200893,0,153.7900583,0.166666667,300.169885,1
DakLak,Vietnam,Dengue,Auto ARIMA,2017-01,3057.010314,296.6289771,776,129.3333333,128.5107527,0.384700594,0.363160969,0.449946458,0,0.382253836,5.782353705,321.7721321,0,296.6289771,0.333333333,243.7400046,1
DienBien,Vietnam,Dengue,Auto ARIMA,2016-07,0.000631598,0.163494301,0,0,0.055555556,0.490482902,,2,0,inf,21.25445529,0.446472141,0,0.163494301,0.5,0.451253293,1
DienBien,Vietnam,Dengue,Auto ARIMA,2016-08,0.000343701,0.156374532,0,0,0.055248619,0.471729837,,2,0,inf,19.73230586,0.417625139,0,0.156374532,0.5,0.40739452,1
DienBien,Vietnam,Dengue,Auto ARIMA,2016-09,0.001211778,0.151121879,0,0,0.054945055,0.458403034,,2,0,inf,20.99702661,0.399624819,0,0.151121879,0.5,0.44032321,1
DienBien,Vietnam,Dengue,Auto ARIMA,2016-10,0.001039466,0.250864708,0,0,0.054644809,0.76513736,,2,0,inf,20.87525674,0.47241362,0,0.250864708,0.333333333,0.445039672,1
DienBien,Vietnam,Dengue,Auto ARIMA,2016-11,0.000960861,0.23734882,0,0,0.054347826,0.727869714,,2,0,inf,21.31577717,0.44494487,0,0.23734882,0.333333333,0.426364001,1
DienBien,Vietnam,Dengue,Auto ARIMA,2016-12,0.000703388,0.200953268,0,0,0.054054054,0.61960591,,2,0,inf,20.87543306,0.45920997,0,0.200953268,0.666666667,0.436981414,1
DienBien,Vietnam,Dengue,Auto ARIMA,2017-01,0.000326807,0.198497855,0,0,0.053763441,0.615343349,,2,0,inf,20.80620174,0.491826464,0,0.198497855,0.5,0.424649639,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2016-07,2445.34967,264.0529284,622,103.6666667,71.25862069,0.617592945,0.396481412,0.513387645,0,0.424522393,5.145334532,203.8277517,0,264.0529284,0,95.6257351,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2016-08,1972.406007,250.4439127,614,102.3333333,71.25862069,0.585762841,0.407719045,0.515775968,0,0.407889109,5.378187605,180.7064681,0,250.4439127,0,92.3500607,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2016-09,203.3715053,64.50302775,537,89.5,71.25862069,0.150866022,0.131114744,0.14364269,0,0.12011737,5.283927947,149.7186632,0,64.50302775,0.166666667,128.2983374,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2016-10,627.7687699,127.9830964,466,77.66666667,70.86285714,0.301011234,0.319964701,0.291356424,0,0.274641838,5.236210761,164.1764782,0,127.9830964,0.166666667,122.1299374,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2016-11,182.9278442,70.12933395,369,61.5,70.64772727,0.165443713,0.190628293,0.171648656,0,0.190052396,5.212330518,132.8977434,0,70.12933395,1,158.4931843,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2016-12,97.50520164,58.87226279,330,55,70.76836158,0.138650148,0.196613219,0.181461467,0,0.178400796,5.185473776,147.0209076,0,58.87226279,0.333333333,139.1250703,1
GiaLai,Vietnam,Dengue,Auto ARIMA,2017-01,483.3530778,115.8008783,348,58,70.85393258,0.272393439,0.311703787,0.3284825,0,0.332761144,4.757566554,141.8763376,0,115.8008783,0.5,128.3533826,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2016-07,14454.61501,601.9919479,1636,272.6666667,232.9722222,0.430660747,0.366706311,0.430664145,0,0.367965738,6.647400346,728.6839596,0,601.9919479,0.166666667,469.7885303,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2016-08,12765.31597,541.296863,1616,269.3333333,232.2541436,0.388437177,0.342485363,0.297769913,0,0.33496093,7.54417957,580.2584747,0,541.296863,0.5,660.8011267,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2016-09,12162.88496,611.2258937,1412,235.3333333,231.7307692,0.439609218,0.423546017,0.341450905,0,0.432879528,6.82401044,501.3377473,0,611.2258937,1,718.0796677,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2016-10,9032.386431,624.3691645,1227,204.5,230.4863388,0.451486747,0.628101917,0.541920182,0,0.508858325,6.776301632,687.7023991,0,624.3691645,0.5,553.687628,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2016-11,11450.65406,653.8455644,973,162.1666667,229.6956522,0.474428922,0.708498226,0.491363172,0,0.671989275,7.000362993,557.1336541,0,653.8455644,1,703.0218104,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2016-12,1216.075667,183.3652115,870,145,229.7567568,0.133014015,0.2135752,0.224429379,0,0.210764611,7.201980897,646.4494631,0,183.3652115,0.333333333,627.3208165,1
HaNoi,Vietnam,Dengue,Auto ARIMA,2017-01,2359.550442,247.2756066,915,152.5,229.7204301,0.179403291,0.292573416,0.260129675,0,0.270246565,7.133105419,606.3609808,0,247.2756066,0.666666667,639.9314924,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2016-07,89.72703824,46.17743261,115,19.16666667,9.016666667,0.85355698,0.364746321,0.477280877,0,0.401542892,5.400246736,29.22252013,0,46.17743261,0.166666667,9.259909174,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2016-08,52.72396691,38.48423438,113,18.83333333,9.005524862,0.712233785,0.306581318,0.38054618,0,0.340568446,5.528742287,25.84442022,0,38.48423438,0,11.9333399,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2016-09,6.974572067,11.05160067,99,16.5,9.005494505,0.204534403,0.120975963,0.134197839,0,0.11163233,5.406158048,20.86420221,0,11.05160067,0.166666667,16.3376739,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2016-10,10.83435755,13.90720278,86,14.33333333,8.956284153,0.258797855,0.151251976,0.158013134,0,0.16171166,5.39807525,21.20683325,0,13.90720278,0.166666667,16.17130553,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2016-11,14.10789566,15.74364836,68,11.33333333,8.940217391,0.293498612,0.224969357,0.192363441,0,0.231524241,5.780805578,16.56817265,0,15.74364836,1,24.02334575,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2016-12,3.493447561,9.851257439,61,10.16666667,8.983783784,0.182759991,0.171894832,0.161894134,0,0.161496024,5.603322647,18.26266258,0,9.851257439,0.5,20.19299075,1
HaiPhong,Vietnam,Dengue,Auto ARIMA,2017-01,8.279064017,17.08988676,64,10.66666667,9.016129032,0.315913232,0.252267324,0.298228286,0,0.267029481,5.511936916,21.58995148,0,17.08988676,0,17.32847794,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2016-07,264.4848789,78.2385649,381,63.5,36.84444444,0.353913894,0.243126508,0.207134872,0,0.205350564,5.212758352,75.62483502,0,78.2385649,0.5,79.10191523,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2016-08,217.7426576,71.43097629,376,62.66666667,36.77348066,0.323743157,0.211391441,0.187910377,0,0.189976001,4.92846573,67.44289686,0,71.43097629,0.333333333,72.6817445,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2016-09,416.6581811,110.3766286,329,54.83333333,36.74725275,0.500611703,0.404100253,0.318961544,0,0.335491272,5.273645691,53.07341831,0,110.3766286,1,91.31114342,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2016-10,382.1967463,100.1013522,286,47.66666667,36.55191257,0.45643463,0.442724456,0.336120645,0,0.350004728,5.001770066,49.13511853,0,100.1013522,1,89.25854159,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2016-11,469.7139586,134.7913992,226,37.66666667,36.45652174,0.616219873,0.641319991,0.476216992,0,0.59642212,5.640881322,49.4683821,0,134.7913992,1,103.4438234,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2016-12,142.3019802,64.46708758,202,33.66666667,36.56216216,0.293869781,0.332120111,0.276879007,0,0.319143998,5.366441034,59.59593964,0,64.46708758,1,82.90108134,1
HauGiang,Vietnam,Dengue,Auto ARIMA,2017-01,48.20156732,32.41195079,212,35.33333333,36.64516129,0.147413509,0.160517167,0.156801889,0,0.15288656,5.087064479,77.95484764,0,32.41195079,0.666666667,64.66338306,1
HoChiMinh,Vietnam,Dengue,Auto ARIMA,2016-07,102647.1854,1675.900943,5873,978.8333333,447.6055556,0.62402448,0.273419554,0.31299718,0,0.285356878,3.687898871,884.1559772,0,1675.900943,0.166666667,343.8208357,1
HoChiMinh,Vietnam,Dengue,Auto ARIMA,2016-08,49667.68459,1284.842297,5801,966.8333333,447.1767956,0.478871858,0.228545483,0.225881815,0,0.221486347,3.520222752,733.0770656,0,1284.842297,0.5,669.3500023,0.833333333
