item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
0701larmany-0701 Xamnua-Hep B vaccine,Laos,EPI Logistics,Auto EWARS,2023-05,34.05868333,15,20,3.333333333,3.733333333,0.669642857,1.216666667,0.741798942,0,0.75,9.910714286,5.2,0.333333333,15,0.833333333,18.8,1
0701larmany-0701 Xamnua-Hep B vaccine,Laos,EPI Logistics,Auto EWARS,2023-06,30.27153333,13,19,3.166666667,3.75,0.577777778,0.279166667,0.848292448,0,0.684210526,9.422222222,3.6,0.333333333,13,0.5,18.6,1
0701larmany-0701 Xamnua-Hep B vaccine,Laos,EPI Logistics,Auto EWARS,2023-07,18.06511667,15,21,3.5,3.588235294,0.696721311,0.258333333,0.900673401,0,0.714285714,7.524590164,3.8,0.333333333,15,0.5,14,1
0701larmany-0701 Xamnua-Hep B vaccine,Laos,EPI Logistics,Auto EWARS,2023-08,16.34031667,20,29,4.833333333,3.666666667,0.909090909,0.513333333,1.027777778,0,0.689655172,19.90909091,5.8,0.166666667,20,0.333333333,22,0.833333333
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-02,74.84803333,28,39,6.5,4.333333333,1.076923077,0.622222222,0.757175548,0,0.717948718,11.5,8.4,0.166666667,28,0.666666667,27.2,1
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-03,25.5659,28,43,7.166666667,4.153846154,1.12345679,0.495238095,0.912440191,0,0.651162791,6.861111111,8.4,0.166666667,28,0.166666667,11.4,1
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-04,20.57143333,22,39,6.5,4.428571429,0.827956989,0.373333333,0.747457026,0,0.564102564,8.543010753,7.8,0.166666667,22,0.166666667,14.2,1
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-05,31.50018333,20,35,5.833333333,4.466666667,0.746268657,0.571428571,0.688888889,0,0.571428571,7.798507463,6.8,0.166666667,20,0.666666667,17,1
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-06,9.824766667,22,42,7,4.375,0.838095238,0.414285714,0.57979798,0,0.523809524,6.857142857,8.4,0,22,0.166666667,8.8,1
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-07,8.339033333,20,40,6.666666667,4.882352941,0.682730924,0.525396825,0.594612795,0,0.5,6.110441767,8,0,20,0.166666667,10.2,1
