item_id,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
Oudomxai,ARIMA Madagaskar,2012-10,24.05186826,18.00587488,65,10.83333333,12.65925926,0.237058037,0.370039206,0.307134539,0,0.27701346,8.160836202,36.4802047,0,18.00587488,0.666666667,44.03827043,1
Oudomxai,ARIMA Madagaskar,2012-11,41.5286665,30.4453862,55,9.166666667,12.67647059,0.400287367,0.602382687,0.455516707,0,0.553552476,8.259439275,34.5036745,0,30.4453862,0.833333333,44.46714382,1
Oudomxai,ARIMA Madagaskar,2012-12,97.28583506,38.02845752,69,11.5,12.65693431,0.500759197,0.4746028,0.654487203,0,0.551137066,7.635185088,40.94743388,0,38.02845752,0.166666667,33.41146392,1
Oudomxai,ARIMA Madagaskar,2013-01,1378.206796,116.1148645,154,25.66666667,12.60144928,1.535734263,0.462690232,0.713729118,0,0.753992626,26.36607521,65.50908588,0,116.1148645,0,117.5523642,0.833333333
Savannakhet,ARIMA Madagaskar,2012-07,24964.50889,729.9350989,1515,252.5,133.0681818,0.914236958,0.410759053,0.568116476,0,0.481805346,5.071385969,443.7077897,0,729.9350989,0.166666667,115.2439366,1
Savannakhet,ARIMA Madagaskar,2012-08,11020.29375,505.137148,1395,232.5,133.2030075,0.632039218,0.368617109,0.389236035,0,0.362105482,5.476923193,356.6230505,0,505.137148,0.333333333,185.2510778,1
Savannakhet,ARIMA Madagaskar,2012-09,15495.22679,610.0130175,1265,210.8333333,132.9776119,0.764556039,0.467971763,0.491926033,0,0.482223729,5.3812848,353.525128,0,610.0130175,0.333333333,242.336218,0.666666667
Savannakhet,ARIMA Madagaskar,2012-10,2298.04116,261.8423822,1023,170.5,133.7925926,0.326179471,0.323478996,0.264807129,0,0.255955408,5.374545449,254.502685,0,261.8423822,0.833333333,328.1015278,1
Savannakhet,ARIMA Madagaskar,2012-11,4748.919184,347.5856866,855,142.5,134.5367647,0.430595666,0.407803603,0.397120606,0,0.406532967,5.535471501,253.5307932,0,347.5856866,0.833333333,338.0249951,1
Savannakhet,ARIMA Madagaskar,2012-12,17856.63716,579.5184154,1074,179,134.7226277,0.71692784,0.485825758,0.521531085,0,0.539588841,5.415888067,333.042835,0,579.5184154,0.666666667,297.6283245,0.833333333
Savannakhet,ARIMA Madagaskar,2013-01,294051.7005,1727.837462,2403,400.5,134.2681159,2.144760193,0.405532327,0.617131503,0,0.719033484,44.74214564,657.4083937,0,1727.837462,0.166666667,2032.760978,0.666666667
