,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
3,2017-04,115.025,28.11,525125.443917411,-,KhanhHoa,525125.443917411,4,2017,KhanhHoa
4,2017-05,272.086,27.53,525125.443917411,-,KhanhHoa,525125.443917411,5,2017,KhanhHoa
5,2017-06,181.555,27.37,525125.443917411,-,KhanhHoa,525125.443917411,6,2017,KhanhHoa
0,2017-01,292.413,21.21,1436137.44754464,-,KienGiang,1436137.44754464,1,2017,KienGiang
1,2017-02,235.319,20.66,1436137.44754464,-,KienGiang,1436137.44754464,2,2017,KienGiang
2,2017-03,234.08,23.49,1436137.44754464,-,KienGiang,1436137.44754464,3,2017,KienGiang
3,2017-04,203.074,25.4,1436137.44754464,-,KienGiang,1436137.44754464,4,2017,KienGiang
4,2017-05,336.755,26.51,1436137.44754464,-,KienGiang,1436137.44754464,5,2017,KienGiang
5,2017-06,207.829,28.08,1436137.44754464,-,KienGiang,1436137.44754464,6,2017,KienGiang
0,2017-01,103.033,21.67,936333.702008929,-,LamDong,936333.702008929,1,2017,LamDong
1,2017-02,55.98,21.67,936333.702008929,-,LamDong,936333.702008929,2,2017,LamDong
2,2017-03,43.591,24.54,936333.702008929,-,LamDong,936333.702008929,3,2017,LamDong
3,2017-04,135.066,25.71,936333.702008929,-,LamDong,936333.702008929,4,2017,LamDong
4,2017-05,231.607,25.4,936333.702008929,-,LamDong,936333.702008929,5,2017,LamDong
5,2017-06,129.533,25.15,936333.702008929,-,LamDong,936333.702008929,6,2017,LamDong
0,2017-01,94.223,15.79,3972210.75837054,-,NgheAn,3972210.75837054,1,2017,NgheAn
1,2017-02,25.707,16.02,3972210.75837054,-,NgheAn,3972210.75837054,2,2017,NgheAn
2,2017-03,141.966,19.74,3972210.75837054,-,NgheAn,3972210.75837054,3,2017,NgheAn
3,2017-04,153.288,21.64,3972210.75837054,-,NgheAn,3972210.75837054,4,2017,NgheAn
4,2017-05,156.183,23.28,3972210.75837054,-,NgheAn,3972210.75837054,5,2017,NgheAn
5,2017-06,386.991,23.95,3972210.75837054,-,NgheAn,3972210.75837054,6,2017,NgheAn
0,2017-01,77.055,21.43,604218.589285714,-,PhuYen,604218.589285714,1,2017,PhuYen
