time_period,rainfall,mean_temperature,disease_cases,population,location
2022-02,123.984,20.73,2406,666159,XxBlJkEmJGQ
2022-03,132.065,21.39,2412,666159,XxBlJkEmJGQ
2022-04,207.39,20.7,3443,666159,XxBlJkEmJGQ
2022-05,78.97,20.72,3651,666159,XxBlJkEmJGQ
2022-06,2.309,20.34,3563,666159,XxBlJkEmJGQ
2022-07,13.623,21.64,2976,666159,XxBlJkEmJGQ
2022-08,60.096,21.4,2779,666159,XxBlJkEmJGQ
2022-09,40.115,21.74,3813,666159,XxBlJkEmJGQ
2022-10,44.218,22.44,3532,666159,XxBlJkEmJGQ
2022-11,181.671,20.56,2748,666159,XxBlJkEmJGQ
2022-12,138.125,20.26,2803,666159,XxBlJkEmJGQ
2023-01,43.924,20.95,2420,672419,XxBlJkEmJGQ
2023-02,74.827,22.05,1670,672419,XxBlJkEmJGQ
2023-03,193.567,20.69,1029,672419,XxBlJkEmJGQ
2023-04,209.578,20.35,1346,672419,XxBlJkEmJGQ
2023-05,66.996,21.64,1661,672419,XxBlJkEmJGQ
2023-06,4.326,22.26,1963,672419,XxBlJkEmJGQ
2023-07,0.131,22.77,1731,672419,XxBlJkEmJGQ
2023-08,1.259,24.15,1778,672419,XxBlJkEmJGQ
2023-09,108.866,22.03,2181,672419,XxBlJkEmJGQ
2023-10,94.579,22,8122,672419,XxBlJkEmJGQ
2023-11,242.319,20.14,4740,672419,XxBlJkEmJGQ
2023-12,115.022,21.33,2624,672419,XxBlJkEmJGQ
2024-01,137.459,21.31,3044,804704.65,XxBlJkEmJGQ
2024-02,93.872,22.09,2653,802506,XxBlJkEmJGQ
2024-03,91.499,22.23,1986,804704.65,XxBlJkEmJGQ
2024-04,196.012,20.98,2378,804704.65,XxBlJkEmJGQ
2024-05,37.743,22.37,2254,804704.65,XxBlJkEmJGQ
2024-06,1.102,22.79,2739,804704.65,XxBlJkEmJGQ
2024-07,1.164,23.85,2847,804704.65,XxBlJkEmJGQ
2024-08,2.637,24.06,4254,804704.65,XxBlJkEmJGQ
2024-09,34.32,23.75,7908,804704.65,XxBlJkEmJGQ
2024-10,89.4,21.92,11735,804704.65,XxBlJkEmJGQ
2024-11,149.24,20.9,13050,804704.65,XxBlJkEmJGQ
2024-12,112.543,21.12,6107,804704.65,XxBlJkEmJGQ
2015-01,70.325,16.87,586,486777,rNmqHqUm4Cf
2015-02,151.31,17.11,472,486777,rNmqHqUm4Cf
2015-03,203.72,16.88,313,486777,rNmqHqUm4Cf
2015-04,546.989,16.05,405,486777,rNmqHqUm4Cf
2015-05,111.681,16.48,626,486777,rNmqHqUm4Cf
2015-06,274.067,16.54,799,486777,rNmqHqUm4Cf
2015-07,19.834,16.94,730,486777,rNmqHqUm4Cf
2015-08,23.3,17.63,328,486777,rNmqHqUm4Cf
2015-09,131.341,17.29,381,486777,rNmqHqUm4Cf
2015-10,379.669,16.63,481,486777,rNmqHqUm4Cf
2015-11,530.198,16.07,1029,486777,rNmqHqUm4Cf
2015-12,867.548,16.35,2488,486777,rNmqHqUm4Cf
