,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
3,2017-10,144.279,25.93,3042394.12722741,-,MatoGrosso,3042394.12722741,10,2017,MatoGrosso
4,2017-11,96.549,26.53,3042394.12722741,-,MatoGrosso,3042394.12722741,11,2017,MatoGrosso
5,2017-12,128.968,26.28,3042394.12722741,-,MatoGrosso,3042394.12722741,12,2017,MatoGrosso
0,2017-07,17.162,13.6,21908005.3518378,-,MinasGerais,21908005.3518378,7,2017,MinasGerais
1,2017-08,98.439,15.2,21908005.3518378,-,MinasGerais,21908005.3518378,8,2017,MinasGerais
2,2017-09,74.094,19.38,21908005.3518378,-,MinasGerais,21908005.3518378,9,2017,MinasGerais
3,2017-10,165.5,18.22,21908005.3518378,-,MinasGerais,21908005.3518378,10,2017,MinasGerais
4,2017-11,190.797,18.41,21908005.3518378,-,MinasGerais,21908005.3518378,11,2017,MinasGerais
5,2017-12,229.044,20.98,21908005.3518378,-,MinasGerais,21908005.3518378,12,2017,MinasGerais
0,2017-07,137.415,25.15,7599357.33724809,-,Para,7599357.33724809,7,2017,Para
1,2017-08,29.787,26.67,7599357.33724809,-,Para,7599357.33724809,8,2017,Para
2,2017-09,33.397,27.61,7599357.33724809,-,Para,7599357.33724809,9,2017,Para
3,2017-10,27.463,27.93,7599357.33724809,-,Para,7599357.33724809,10,2017,Para
4,2017-11,29.48,27.95,7599357.33724809,-,Para,7599357.33724809,11,2017,Para
5,2017-12,191.133,25.81,7599357.33724809,-,Para,7599357.33724809,12,2017,Para
0,2017-07,4.164,18.0,3032536.51135993,-,Paraiba,3032536.51135993,7,2017,Paraiba
1,2017-08,61.441,20.0,3032536.51135993,-,Paraiba,3032536.51135993,8,2017,Paraiba
2,2017-09,24.687,23.81,3032536.51135993,-,Paraiba,3032536.51135993,9,2017,Paraiba
3,2017-10,108.301,24.02,3032536.51135993,-,Paraiba,3032536.51135993,10,2017,Paraiba
4,2017-11,177.065,22.94,3032536.51135993,-,Paraiba,3032536.51135993,11,2017,Paraiba
5,2017-12,184.031,24.13,3032536.51135993,-,Paraiba,3032536.51135993,12,2017,Paraiba
0,2017-07,83.985,22.18,11596972.0803264,-,Parana,11596972.0803264,7,2017,Parana
1,2017-08,60.404,22.51,11596972.0803264,-,Parana,11596972.0803264,8,2017,Parana
2,2017-09,98.636,22.7,11596972.0803264,-,Parana,11596972.0803264,9,2017,Parana
3,2017-10,42.758,24.31,11596972.0803264,-,Parana,11596972.0803264,10,2017,Parana
4,2017-11,18.786,26.09,11596972.0803264,-,Parana,11596972.0803264,11,2017,Parana
5,2017-12,33.009,26.87,11596972.0803264,-,Parana,11596972.0803264,12,2017,Parana
0,2017-07,0.227,26.06,6122550.05195105,-,Pernambuco,6122550.05195105,7,2017,Pernambuco
1,2017-08,0.234,28.85,6122550.05195105,-,Pernambuco,6122550.05195105,8,2017,Pernambuco
2,2017-09,0.626,30.36,6122550.05195105,-,Pernambuco,6122550.05195105,9,2017,Pernambuco
3,2017-10,41.917,30.66,6122550.05195105,-,Pernambuco,6122550.05195105,10,2017,Pernambuco
4,2017-11,213.042,26.42,6122550.05195105,-,Pernambuco,6122550.05195105,11,2017,Pernambuco
5,2017-12,265.398,25.81,6122550.05195105,-,Pernambuco,6122550.05195105,12,2017,Pernambuco
0,2017-07,83.199,25.91,3360967.66738173,-,Piaui,3360967.66738173,7,2017,Piaui
1,2017-08,95.511,27.34,3360967.66738173,-,Piaui,3360967.66738173,8,2017,Piaui
